60,61, Motorcycle,194.91,14.204055,37.978771,23.736211,17.6536,0.1648,0.013,0.0
61,62, Taxi,79.97,22.847876,37.979439,23.735814,14.9654,-0.3793,-0.0873,0.0
62,63, Taxi,289.89,1.867591,37.97857,23.735838,15.8833,0.0428,0.0266,0.0
63,64, Bus,456.09,7.993864,37.980357,23.735184,0.0,0.0,0.0,0.0
64,65, Taxi,280.45,16.025744,37.978628,23.735957,14.0584,-0.0405,0.118,0.0
65,66, Taxi,258.97,11.86113,37.978746,23.736204,9.5973,0.0593,-0.0786,0.0
66,67, Taxi,185.56,12.058342,37.978802,23.736305,0.0,0.0,0.0,0.0
67,68, Taxi,185.13,12.915959,37.978819,23.736282,0.0,0.0,0.0,0.0
68,69, Taxi,127.12,10.495797,37.978851,23.736338,0.0,0.0,0.0,0.0
69,70, Taxi,442.64,19.918851,37.980327,23.735372,24.0816,-0.106,0.0114,0.0
70,71, Heavy Vehicle,151.24,1.495741,37.979046,23.736301,0.0,0.0,0.0,0.0
71,72, Taxi,183.52,20.907353,37.978368,23.736891,14.3176,0.0704,-0.0229,0.0
72,73, Taxi,15.99,13.709574,37.979457,23.737486,14.5171,0.0572,-0.0093,0.0
73,74, Taxi,434.68,21.26156,37.980256,23.735402,25.1746,-0.2332,0.041,0.0
74,75, Taxi,133.2,23.278397,37.97982,23.735675,37.4063,0.2637,-0.0135,0.0
75,76, Taxi,353.88,31.072162,37.979653,23.735838,32.4755,0.1855,-0.0047,0.0
76,77, Taxi,295.46,21.796327,37.979235,23.736274,23.7314,0.0299,0.0462,0.0
77,78, Taxi,206.77,19.692781,37.979077,23.736406,21.0154,0.0823,-0.0503,0.0
78,79, Taxi,215.55,26.574647,37.978811,23.736525,32.0709,-0.0092,-0.0033,0.0
79,80, Taxi,222.0,22.323695,37.978682,23.736691,21.9932,0.0208,0.0004,0.0
80,81, Taxi,194.4,21.600212,37.978471,23.736857,21.3077,0.2533,-0.0319,0.0
81,82, Taxi,150.55,22.39556,37.978248,23.736975,12.3795,0.013,-0.031,0.0
82,83, Taxi,74.22,12.145817,37.977569,23.737534,24.0776,0.0404,0.1182,0.0
83,84, Taxi,47.42,8.368982,37.977373,23.737736,0.0,0.0,0.0,0.0
84,85, Heavy Vehicle,162.57,0.821502,37.979855,23.73653,0.0,0.0,0.0,0.0
85,86, Car,124.14,0.894165,37.979356,23.736567,0.0,0.0,0.0,0.0
86,87, Car,267.76,3.733237,37.978994,23.736336,0.0,0.0,0.0,0.0
87,88, Car,129.13,12.701076,37.978558,23.736821,23.6539,0.6289,-0.0623,0.2
88,89, Motorcycle,64.32,14.118982,37.978683,23.7374,11.4973,-0.7316,0.0497,0.2
89,90, Taxi,465.45,20.285877,37.980478,23.73521,22.3603,-0.0426,-0.0251,0.2
90,91, Motorcycle,200.41,14.091146,37.978455,23.735634,25.6692,0.2382,0.0114,0.4
91,92, Taxi,214.67,14.97669,37.980442,23.735158,32.5542,0.0424,-0.1623,0.4
92,93, Motorcycle,193.61,28.800755,37.978658,23.736648,32.4672,-0.0752,-0.0224,0.8
93,94, Car,110.34,9.237562,37.97959,23.736095,2.3425,-1.6275,0.0005,1.8
94,95, Taxi,463.5,20.600212,37.98048,23.735205,17.2334,0.0471,0.0213,3.6
95,96, Car,204.85,14.749486,37.978449,23.735599,22.3918,0.0447,0.0356,6.6
96,97, Heavy Vehicle,467.87,16.102669,37.980506,23.735184,13.4333,0.0444,0.0462,7.2
97,98, Motorcycle,9.37,8.433102,37.978788,23.737322,12.0259,-0.0839,-0.334,14.4
98,99, Motorcycle,19.93,22.420906,37.979417,23.73577,25.251,-0.027,-1.6248,15.6
99,100, Car,212.97,10.618917,37.978412,23.735535,26.3725,0.009,-0.0397,19.2
100,101, Car,169.41,9.932919,37.978403,23.735522,33.4183,0.0539,-0.0514,22.8
101,102, Motorcycle,463.17,31.942672,37.980597,23.735029,44.6811,0.131,-0.0767,24.6
102,103, Motorcycle,57.62,23.048464,37.980653,23.735109,36.0322,0.0427,-0.0439,25.0
103,104, Car,196.09,14.118836,37.980044,23.736905,21.1863,-0.0347,-0.3453,25.2
104,105, Taxi,235.0,30.000579,37.980589,23.735027,38.6051,0.1324,0.0346,27.4
105,106, Medium Vehicle,502.33,31.726205,37.980653,23.735106,21.8543,0.0343,-0.0212,27.6
106,107, Car,236.72,25.668102,37.980615,23.735047,25.036,0.069,-0.0736,27.8
107,108, Motorcycle,79.34,13.472079,37.978414,23.737914,15.1925,-0.0781,-0.0111,28.0
108,109, Car,196.8,14.169529,37.980042,23.736903,21.6697,-0.0127,0.1015,28.0
109,110, Motorcycle,489.1,35.215056,37.980606,23.735026,35.1799,0.027,-0.021,28.2
110,111, Motorcycle,346.02,15.570855,37.978408,23.735532,48.5979,0.0106,-0.0524,29.8
111,112, Car,485.57,29.527702,37.980611,23.735057,22.9195,0.0006,-0.0689,30.2
112,113, Taxi,498.93,32.073758,37.980644,23.735111,18.0177,-0.021,-0.0351,30.8
113,114, Motorcycle,345.72,15.104365,37.978406,23.73554,51.284,0.0766,-0.0187,31.2
114,115, Taxi,486.39,30.189553,37.980583,23.735032,36.1219,0.1194,0.0837,31.4
115,116, Car,264.09,14.948745,37.978414,23.735548,38.4547,0.0045,-0.0315,33.6
116,117, Motorcycle,261.73,16.472408,37.978397,23.735552,29.584,-0.0251,-0.2452,33.8
117,118, Car,483.02,30.506824,37.980607,23.735063,26.4858,0.0178,-0.0872,33.8
118,119, Car,347.36,1.593008,37.980627,23.735092,25.9723,0.0599,-0.1278,33.8
119,120, Car,332.18,22.56318,37.980648,23.735114,30.3703,0.05,0.0218,34.0
120,121, Car,109.56,16.0333,37.977625,23.737403,5.454,0.144,-0.0,34.2
121,122, Car,39.34,12.003092,37.980046,23.736915,23.093,0.1134,0.1107,35.0
122,123, Car,236.57,8.399053,37.980591,23.735035,39.0153,0.0621,0.2362,35.4
123,124, Car,206.17,32.553122,37.978388,23.737853,26.5918,-0.0185,0.2641,35.4
124,125, Car,212.07,4.013894,37.978403,23.735557,26.1983,0.0262,-0.0452,36.2
125,126, Taxi,483.24,23.636685,37.980608,23.735061,31.4813,0.0146,0.0613,37.2
126,127, Car,498.84,34.802491,37.980638,23.735114,34.6533,0.0181,-0.0066,37.2
127,128, Taxi,108.46,20.127502,37.98059,23.735031,33.5682,0.0182,-0.0399,37.4
128,129, Car,284.79,2.024552,37.980046,23.736907,18.3878,-0.0049,0.1321,38.2
129,130, Car,483.11,23.005001,37.980598,23.735072,31.625,0.0346,0.1132,38.6
130,131, Taxi,233.66,27.48905,37.980591,23.735039,32.6122,0.0422,-0.1354,39.2
131,132, Car,483.28,19.417664,37.980618,23.735096,36.1016,0.0513,-0.0437,39.8
132,133, Car,36.86,8.191375,37.977631,23.737403,5.2181,0.0503,-0.011,40.0
133,134, Heavy Vehicle,360.54,15.127475,37.978408,23.73553,24.8128,0.0258,-0.1075,40.2
134,135, Car,37.69,15.07445,37.980042,23.736899,16.0195,-0.0173,-0.1897,40.6
135,136, Car,482.51,38.94721,37.980621,23.735093,36.3107,0.0181,-0.0503,41.4
136,137, Motorcycle,253.1,18.150943,37.978402,23.735552,30.6322,0.0134,-0.184,41.8
137,138, Car,358.27,16.706995,37.978414,23.735531,21.0402,-0.0054,0.0614,41.8
138,139, Taxi,233.46,16.479291,37.980584,23.735045,31.4871,0.007,-0.0462,41.8
139,140, Motorcycle,494.53,25.432973,37.980632,23.735115,44.6568,0.0459,-0.0634,42.4
140,141, Motorcycle,315.2,15.848026,37.978404,23.735536,23.2352,0.0314,-0.1302,42.6
141,142, Car,231.84,28.583531,37.980595,23.735069,44.0086,0.0425,0.1701,43.2
142,143, Taxi,322.91,16.145688,37.978425,23.735534,21.5207,0.0446,-0.055,44.0
143,144, Taxi,479.97,22.85573,37.980617,23.735131,45.8316,0.025,0.0076,44.4
144,145, Car,108.65,23.008078,37.977629,23.737404,13.9871,0.0038,0.0698,45.4
145,146, Bus,486.71,14.601304,37.980621,23.735093,32.0355,0.0149,0.0787,45.4
146,147, Car,361.47,14.821003,37.978406,23.735551,18.93,-0.0097,-0.0852,45.4
147,148, Car,349.35,19.171578,37.978421,23.735542,21.3362,0.0405,-0.0773,47.0
148,149, Car,110.43,24.847595,37.977627,23.737405,7.4152,-0.0188,0.2656,49.0
149,150, Medium Vehicle,347.51,11.498532,37.97841,23.735536,21.6254,0.0311,0.0787,50.0
150,151, Motorcycle,358.71,20.432846,37.9784,23.735532,24.1311,0.1052,0.0317,51.0
151,152, Motorcycle,481.44,16.137728,37.980577,23.735024,20.6877,-0.0226,0.0095,52.4
152,153, Taxi,111.52,25.09105,37.977622,23.737397,7.7703,-0.1339,0.4284,52.4
153,154, Car,348.85,10.845187,37.978422,23.735533,20.0331,0.0806,0.001,53.2
154,155, Car,357.73,17.886421,37.97841,23.735528,14.0901,-0.0413,-0.2053,54.8
155,156, Taxi,349.17,11.084893,37.978406,23.73553,15.2511,0.0089,-0.0542,57.4
156,157, Car,354.48,11.926515,37.978405,23.735534,12.5946,-0.0205,0.0042,60.2
157,158, Motorcycle,250.92,18.435099,37.978542,23.738231,19.5601,-0.1351,-0.6413,61.4
158,159, Car,351.26,11.310698,37.978406,23.735522,14.1624,-0.0169,-0.0626,63.0
159,160, Car,234.85,14.330118,37.980575,23.735053,31.167,0.1114,0.0532,71.4
160,161, Motorcycle,478.14,40.59664,37.980607,23.7351,44.77,0.0808,0.1479,72.8
161,162, Car,480.27,35.722495,37.980594,23.735072,38.2782,0.0828,0.0117,73.2
162,163, Taxi,235.03,13.220288,37.980574,23.735055,35.3643,0.0268,0.0364,75.0
163,164, Taxi,480.79,19.062308,37.980609,23.7351,25.9281,0.042,0.0298,75.2
164,165, Car,480.46,31.795231,37.980609,23.735137,35.2885,-0.103,0.0188,76.2
165,166, Car,54.43,23.898108,37.980622,23.735136,39.2757,0.0954,0.0777,77.0
166,167, Car,480.26,34.033826,37.980591,23.735075,30.7035,-0.0237,0.2304,77.2
167,168, Car,480.54,29.929526,37.980577,23.735053,33.4089,-0.0237,0.1685,77.4
168,169, Car,227.73,22.277888,37.978446,23.737976,24.2035,0.1116,-0.0109,77.4
169,170, Motorcycle,103.13,15.091528,37.977606,23.737431,6.9323,0.0135,0.0233,78.4
170,171, Motorcycle,383.78,28.311304,37.980614,23.735117,41.7124,0.0772,-0.0227,78.8
171,172, Car,481.73,34.82386,37.980597,23.735091,30.4542,-0.022,-0.1098,78.8
172,173, Taxi,72.2,3.777659,37.980516,23.734938,26.1298,-0.0077,0.017,80.4
173,174, Bus,480.2,14.334387,37.980579,23.735053,26.4122,0.021,-0.0901,81.6
174,175, Motorcycle,478.49,40.436057,37.980586,23.735094,49.4153,0.0756,-0.1384,82.0
175,176, Heavy Vehicle,479.19,18.430534,37.980607,23.735112,32.3777,-0.0193,-0.0177,82.4
176,177, Car,197.71,14.011236,37.980025,23.736873,21.0699,-0.0739,-0.1017,82.8
